
                            < M A T L A B (R) >
                  Copyright 1984-2018 The MathWorks, Inc.
              R2018b Update 4 (9.5.0.1067069) 64-bit (glnxa64)
                             February 28, 2019

 
For online documentation, see https://www.mathworks.com/support
For product information, visit www.mathworks.com.
 
trial: 1
The directed graph is generated.
ASYSONATA: 1000-th iteration, the error is 6.214539
ASYSONATA: 2000-th iteration, the error is 4.134133
ASYSONATA: 3000-th iteration, the error is 2.860372
ASYSONATA: 4000-th iteration, the error is 2.026133
ASYSONATA: 5000-th iteration, the error is 1.462061
ASYSONATA: 6000-th iteration, the error is 1.051624
ASYSONATA: 7000-th iteration, the error is 0.763969
ASYSONATA: 8000-th iteration, the error is 0.554822
ASYSONATA: 9000-th iteration, the error is 0.396676
ASYSONATA: 10000-th iteration, the error is 0.292815
ASYSONATA: 11000-th iteration, the error is 0.213006
ASYSONATA: 12000-th iteration, the error is 0.156316
ASYSONATA: 13000-th iteration, the error is 0.115501
ASYSONATA: 14000-th iteration, the error is 0.083170
ASYSONATA: 15000-th iteration, the error is 0.061176
ASYSONATA: 16000-th iteration, the error is 0.044950
ASYSONATA: 17000-th iteration, the error is 0.033047
ASYSONATA: 18000-th iteration, the error is 0.024173
ASYSONATA: 19000-th iteration, the error is 0.017678
ASYSONATA: 20000-th iteration, the error is 0.012952
ASYSONATA: 21000-th iteration, the error is 0.009480
ASYSONATA: 22000-th iteration, the error is 0.007008
ASYSONATA: 23000-th iteration, the error is 0.005213
ASYSONATA: 24000-th iteration, the error is 0.003864
ASYSONATA: 25000-th iteration, the error is 0.002805
ASYSONATA: 26000-th iteration, the error is 0.002024
ASYSONATA: 27000-th iteration, the error is 0.001481
ASYSONATA: 28000-th iteration, the error is 0.001096
ASYSONATA: 29000-th iteration, the error is 0.000794
ASYSONATA: 30000-th iteration, the error is 0.000583
ASYSONATA: 31000-th iteration, the error is 0.000432
ASYSONATA: 32000-th iteration, the error is 0.000316
ASYSONATA: 33000-th iteration, the error is 0.000235
ASYSONATA: 34000-th iteration, the error is 0.000172
ASYSONATA: 35000-th iteration, the error is 0.000125
ASYSONATA: 36000-th iteration, the error is 0.000091
ASYSONATA: 37000-th iteration, the error is 0.000067
ASYSONATA: 38000-th iteration, the error is 0.000050
ASYSONATA: 39000-th iteration, the error is 0.000037
ASYSONATA: 40000-th iteration, the error is 0.000027
ASYSONATA: 41000-th iteration, the error is 0.000020
ASYSONATA: 42000-th iteration, the error is 0.000015
ASYSONATA: 43000-th iteration, the error is 0.000011
ASYSONATA: 44000-th iteration, the error is 0.000008
ASYSONATA: 45000-th iteration, the error is 0.000006
ASYSONATA: 46000-th iteration, the error is 0.000004
ASYSONATA: 47000-th iteration, the error is 0.000003
ASYSONATA: 48000-th iteration, the error is 0.000002
ASYSONATA: 49000-th iteration, the error is 0.000002
ASYSONATA: 50000-th iteration, the error is 0.000001
ASYSONATA: 51000-th iteration, the error is 0.000001
ASYSONATA: 52000-th iteration, the error is 0.000001
ASYSONATA: 53000-th iteration, the error is 0.000000
ASYSONATA: 54000-th iteration, the error is 0.000000
ASYSONATA: 55000-th iteration, the error is 0.000000
ASYSONATA: 56000-th iteration, the error is 0.000000
ASYSONATA: 57000-th iteration, the error is 0.000000
ASYSONATA: 58000-th iteration, the error is 0.000000
ASYSONATA: 59000-th iteration, the error is 0.000000
ASYSONATA: 60000-th iteration, the error is 0.000000
ASYSONATA: 61000-th iteration, the error is 0.000000
ASYSONATA: 62000-th iteration, the error is 0.000000
ASYSONATA: 63000-th iteration, the error is 0.000000
ASYSONATA: 64000-th iteration, the error is 0.000000
ASYSONATA: 65000-th iteration, the error is 0.000000
ASYSONATA: 66000-th iteration, the error is 0.000000
ASYSONATA: 67000-th iteration, the error is 0.000000
ASYSONATA: 68000-th iteration, the error is 0.000000
ASYSONATA: 69000-th iteration, the error is 0.000000
ASYSONATA: 70000-th iteration, the error is 0.000000
ASYSONATA: 71000-th iteration, the error is 0.000000
ASYSONATA: 72000-th iteration, the error is 0.000000
ASYSONATA: 73000-th iteration, the error is 0.000000
ASYSONATA: 74000-th iteration, the error is 0.000000
ASYSONATA: 75000-th iteration, the error is 0.000000
ASYSONATA: 76000-th iteration, the error is 0.000000
ASYSONATA: 77000-th iteration, the error is 0.000000
ASYSONATA: 78000-th iteration, the error is 0.000000
ASYSONATA: 79000-th iteration, the error is 0.000000
ASYSONATA: 80000-th iteration, the error is 0.000000
ASYSONATA Err: 1.2428e-10
ASYSONATA-dimi: 1000-th iteration, the error is 5.211059
ASYSONATA-dimi: 2000-th iteration, the error is 3.249551
ASYSONATA-dimi: 3000-th iteration, the error is 2.111576
ASYSONATA-dimi: 4000-th iteration, the error is 1.417665
ASYSONATA-dimi: 5000-th iteration, the error is 0.961098
ASYSONATA-dimi: 6000-th iteration, the error is 0.660690
ASYSONATA-dimi: 7000-th iteration, the error is 0.458016
ASYSONATA-dimi: 8000-th iteration, the error is 0.324355
ASYSONATA-dimi: 9000-th iteration, the error is 0.228480
ASYSONATA-dimi: 10000-th iteration, the error is 0.165852
ASYSONATA-dimi: 11000-th iteration, the error is 0.118582
ASYSONATA-dimi: 12000-th iteration, the error is 0.085753
ASYSONATA-dimi: 13000-th iteration, the error is 0.061286
ASYSONATA-dimi: 14000-th iteration, the error is 0.044088
ASYSONATA-dimi: 15000-th iteration, the error is 0.032063
ASYSONATA-dimi: 16000-th iteration, the error is 0.023795
ASYSONATA-dimi: 17000-th iteration, the error is 0.017794
ASYSONATA-dimi: 18000-th iteration, the error is 0.013145
ASYSONATA-dimi: 19000-th iteration, the error is 0.009723
ASYSONATA-dimi: 20000-th iteration, the error is 0.007261
ASYSONATA-dimi: 21000-th iteration, the error is 0.005441
ASYSONATA-dimi: 22000-th iteration, the error is 0.004143
ASYSONATA-dimi: 23000-th iteration, the error is 0.003207
ASYSONATA-dimi: 24000-th iteration, the error is 0.002431
ASYSONATA-dimi: 25000-th iteration, the error is 0.001843
ASYSONATA-dimi: 26000-th iteration, the error is 0.001384
ASYSONATA-dimi: 27000-th iteration, the error is 0.001059
ASYSONATA-dimi: 28000-th iteration, the error is 0.000810
ASYSONATA-dimi: 29000-th iteration, the error is 0.000613
ASYSONATA-dimi: 30000-th iteration, the error is 0.000473
ASYSONATA-dimi: 31000-th iteration, the error is 0.000370
ASYSONATA-dimi: 32000-th iteration, the error is 0.000286
ASYSONATA-dimi: 33000-th iteration, the error is 0.000225
ASYSONATA-dimi: 34000-th iteration, the error is 0.000176
ASYSONATA-dimi: 35000-th iteration, the error is 0.000137
ASYSONATA-dimi: 36000-th iteration, the error is 0.000107
ASYSONATA-dimi: 37000-th iteration, the error is 0.000085
ASYSONATA-dimi: 38000-th iteration, the error is 0.000068
ASYSONATA-dimi: 39000-th iteration, the error is 0.000054
ASYSONATA-dimi: 40000-th iteration, the error is 0.000042
ASYSONATA-dimi: 41000-th iteration, the error is 0.000034
ASYSONATA-dimi: 42000-th iteration, the error is 0.000027
ASYSONATA-dimi: 43000-th iteration, the error is 0.000021
ASYSONATA-dimi: 44000-th iteration, the error is 0.000017
ASYSONATA-dimi: 45000-th iteration, the error is 0.000014
ASYSONATA-dimi: 46000-th iteration, the error is 0.000011
ASYSONATA-dimi: 47000-th iteration, the error is 0.000009
ASYSONATA-dimi: 48000-th iteration, the error is 0.000007
ASYSONATA-dimi: 49000-th iteration, the error is 0.000006
ASYSONATA-dimi: 50000-th iteration, the error is 0.000005
ASYSONATA-dimi: 51000-th iteration, the error is 0.000004
ASYSONATA-dimi: 52000-th iteration, the error is 0.000003
ASYSONATA-dimi: 53000-th iteration, the error is 0.000003
ASYSONATA-dimi: 54000-th iteration, the error is 0.000002
ASYSONATA-dimi: 55000-th iteration, the error is 0.000002
ASYSONATA-dimi: 56000-th iteration, the error is 0.000001
ASYSONATA-dimi: 57000-th iteration, the error is 0.000001
ASYSONATA-dimi: 58000-th iteration, the error is 0.000001
ASYSONATA-dimi: 59000-th iteration, the error is 0.000001
ASYSONATA-dimi: 60000-th iteration, the error is 0.000001
ASYSONATA-dimi: 61000-th iteration, the error is 0.000001
